Date,Time,Day of Week,Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
2024-11-19,09:33:22,Tuesday,1,7,CeeDee Lamb,DAL,WR,25.6,2,-3,8485,1.2,8485
2024-11-19,09:33:22,Tuesday,1,7,CeeDee Lamb,DAL,WR,25.6,2,-3,8485,1.3,8485
2024-11-19,09:33:22,Tuesday,1,8,Brock Bowers,LVR,TE,21.9,3,2,8167,Baseline,8167
2024-11-19,09:33:22,Tuesday,1,8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.1,9044
2024-11-19,09:33:22,Tuesday,1,8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.2,9884
2024-11-19,09:33:22,Tuesday,1,8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.3,9999
2024-11-19,09:33:22,Tuesday,1,9,Nico Collins,HOU,WR,25.7,3,-1,8130,Baseline,8130
2024-11-19,09:33:22,Tuesday,1,9,Nico Collins,HOU,WR,25.7,3,-1,8130,1.1,8130
2024-11-19,09:33:22,Tuesday,1,9,Nico Collins,HOU,WR,25.7,3,-1,8130,1.2,8130
2024-11-19,09:33:22,Tuesday,1,9,Nico Collins,HOU,WR,25.7,3,-1,8130,1.3,8130
2024-11-19,09:33:22,Tuesday,1,10,Lamar Jackson,BAL,QB,27.9,4,8,7762,Baseline,7762
2024-11-19,09:33:22,Tuesday,1,10,Lamar Jackson,BAL,QB,27.9,4,8,7762,1.1,7762
2024-11-19,09:33:22,Tuesday,1,10,Lamar Jackson,BAL,QB,27.9,4,8,7762,1.2,7762
2024-11-19,09:33:22,Tuesday,1,10,Lamar Jackson,BAL,QB,27.9,4,8,7762,1.3,7762
2024-11-19,09:33:22,Tuesday,1,11,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7762,Baseline,7762
2024-11-19,09:33:22,Tuesday,1,11,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7762,1.1,7762
2024-11-19,09:33:22,Tuesday,1,11,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7762,1.2,7762
2024-11-19,09:33:22,Tuesday,1,11,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7762,1.3,7762
2024-11-19,09:33:22,Tuesday,1,12,Puka Nacua,LAR,WR,23.5,4,5,7701,Baseline,7701
2024-11-19,09:33:22,Tuesday,1,12,Puka Nacua,LAR,WR,23.5,4,5,7701,1.1,7701
2024-11-19,09:33:22,Tuesday,1,12,Puka Nacua,LAR,WR,23.5,4,5,7701,1.2,7701
2024-11-19,09:33:22,Tuesday,1,12,Puka Nacua,LAR,WR,23.5,4,5,7701,1.3,7701
2024-11-19,09:33:22,Tuesday,1,13,Saquon Barkley,PHI,RB,27.8,4,6,7604,Baseline,7604
2024-11-19,09:33:22,Tuesday,1,13,Saquon Barkley,PHI,RB,27.8,4,6,7604,1.1,7604
2024-11-19,09:33:22,Tuesday,1,13,Saquon Barkley,PHI,RB,27.8,4,6,7604,1.2,7604
2024-11-19,09:33:22,Tuesday,1,13,Saquon Barkley,PHI,RB,27.8,4,6,7604,1.3,7604
2024-11-19,09:33:22,Tuesday,1,14,Breece Hall,NYJ,RB,23.5,4,-3,7524,Baseline,7524
2024-11-19,09:33:22,Tuesday,1,14,Breece Hall,NYJ,RB,23.5,4,-3,7524,1.1,7524
2024-11-19,09:33:22,Tuesday,1,14,Breece Hall,NYJ,RB,23.5,4,-3,7524,1.2,7524
2024-11-19,09:33:22,Tuesday,1,14,Breece Hall,NYJ,RB,23.5,4,-3,7524,1.3,7524
2024-11-19,09:33:22,Tuesday,1,15,Jayden Daniels,WAS,QB,23.9,4,-2,7472,Baseline,7472
2024-11-19,09:33:22,Tuesday,1,15,Jayden Daniels,WAS,QB,23.9,4,-2,7472,1.1,7472
2024-11-19,09:33:22,Tuesday,1,15,Jayden Daniels,WAS,QB,23.9,4,-2,7472,1.2,7472
2024-11-19,09:33:22,Tuesday,1,15,Jayden Daniels,WAS,QB,23.9,4,-2,7472,1.3,7472
2024-11-19,09:33:22,Tuesday,1,16,De'Von Achane,MIA,RB,23.1,5,10,7345,Baseline,7345
2024-11-19,09:33:22,Tuesday,1,16,De'Von Achane,MIA,RB,23.1,5,10,7345,1.1,7345
2024-11-19,09:33:22,Tuesday,1,16,De'Von Achane,MIA,RB,23.1,5,10,7345,1.2,7345
2024-11-19,09:33:22,Tuesday,1,16,De'Von Achane,MIA,RB,23.1,5,10,7345,1.3,7345
2024-11-19,09:33:22,Tuesday,1,17,Josh Allen,BUF,QB,28.5,5,-3,7322,Baseline,7322
2024-11-19,09:33:22,Tuesday,1,17,Josh Allen,BUF,QB,28.5,5,-3,7322,1.1,7322
2024-11-19,09:33:22,Tuesday,1,17,Josh Allen,BUF,QB,28.5,5,-3,7322,1.2,7322
2024-11-19,09:33:22,Tuesday,1,17,Josh Allen,BUF,QB,28.5,5,-3,7322,1.3,7322
2024-11-19,09:33:22,Tuesday,1,18,A.J. Brown,PHI,WR,27.4,5,-6,7318,Baseline,7318
2024-11-19,09:33:22,Tuesday,1,18,A.J. Brown,PHI,WR,27.4,5,-6,7318,1.1,7318
2024-11-19,09:33:22,Tuesday,1,18,A.J. Brown,PHI,WR,27.4,5,-6,7318,1.2,7318
2024-11-19,09:33:22,Tuesday,1,18,A.J. Brown,PHI,WR,27.4,5,-6,7318,1.3,7318
2024-11-19,09:33:22,Tuesday,1,19,Garrett Wilson,NYJ,WR,24.3,5,2,7305,Baseline,7305
2024-11-19,09:33:22,Tuesday,1,19,Garrett Wilson,NYJ,WR,24.3,5,2,7305,1.1,7305
2024-11-19,09:33:22,Tuesday,1,19,Garrett Wilson,NYJ,WR,24.3,5,2,7305,1.2,7305
2024-11-19,09:33:22,Tuesday,1,19,Garrett Wilson,NYJ,WR,24.3,5,2,7305,1.3,7305
2024-11-19,09:33:22,Tuesday,1,20,Drake London,ATL,WR,23.3,5,-5,7259,Baseline,7259
2024-11-19,09:33:22,Tuesday,1,20,Drake London,ATL,WR,23.3,5,-5,7259,1.1,7259
2024-11-19,09:33:22,Tuesday,1,20,Drake London,ATL,WR,23.3,5,-5,7259,1.2,7259
2024-11-19,09:33:22,Tuesday,1,20,Drake London,ATL,WR,23.3,5,-5,7259,1.3,7259
2024-11-19,09:33:22,Tuesday,1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,Baseline,7181
2024-11-19,09:33:22,Tuesday,1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.1,7181
2024-11-19,09:33:22,Tuesday,1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.2,7181
2024-11-19,09:33:22,Tuesday,1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.3,7181
2024-11-19,09:33:22,Tuesday,1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,Baseline,7095
2024-11-19,09:33:22,Tuesday,1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.1,7095
2024-11-19,09:33:22,Tuesday,1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.2,7095
2024-11-19,09:33:22,Tuesday,1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.3,7095
2024-11-19,09:33:22,Tuesday,1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,Baseline,7069
2024-11-19,09:33:22,Tuesday,1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.1,7069
2024-11-19,09:33:22,Tuesday,1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.2,7069
2024-11-19,09:33:22,Tuesday,1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.3,7069
2024-11-19,09:33:22,Tuesday,1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,Baseline,6942
2024-11-19,09:33:22,Tuesday,1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.1,6942
2024-11-19,09:33:22,Tuesday,1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.2,6942
2024-11-19,09:33:22,Tuesday,1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.3,6942
2024-11-19,09:33:22,Tuesday,1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,Baseline,6672
2024-11-19,09:33:22,Tuesday,1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.1,6672
2024-11-19,09:33:22,Tuesday,1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.2,6672
2024-11-19,09:33:22,Tuesday,1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.3,6672
2024-11-19,09:33:22,Tuesday,1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,Baseline,6616
2024-11-19,09:33:22,Tuesday,1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.1,6616
2024-11-19,09:33:22,Tuesday,1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.2,6616
2024-11-19,09:33:22,Tuesday,1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.3,6616
2024-11-19,09:33:22,Tuesday,1,27,Trey McBride,ARI,TE,25.0,6,2,6588,Baseline,6588
2024-11-19,09:33:22,Tuesday,1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.1,7331
2024-11-19,09:33:22,Tuesday,1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.2,8023
2024-11-19,09:33:22,Tuesday,1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.3,8715
2024-11-19,09:33:22,Tuesday,1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,Baseline,6444
2024-11-19,09:33:22,Tuesday,1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.1,6444
2024-11-19,09:33:22,Tuesday,1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.2,6444
2024-11-19,09:33:22,Tuesday,1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.3,6444
2024-11-19,09:33:22,Tuesday,1,29,George Pickens,PIT,WR,23.7,7,42,6411,Baseline,6411
2024-11-19,09:33:22,Tuesday,1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.1,6411
2024-11-19,09:33:22,Tuesday,1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.2,6411
2024-11-19,09:33:22,Tuesday,1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.3,6411
2024-11-19,09:33:22,Tuesday,1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,Baseline,6299
2024-11-19,09:33:22,Tuesday,1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.1,6299
2024-11-19,09:33:22,Tuesday,1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.2,6299
2024-11-19,09:33:22,Tuesday,1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.3,6299
2024-11-19,09:33:22,Tuesday,1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,Baseline,6286
2024-11-19,09:33:22,Tuesday,1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.1,6286
2024-11-19,09:33:22,Tuesday,1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.2,6286
2024-11-19,09:33:22,Tuesday,1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.3,6286
2024-11-19,09:33:22,Tuesday,1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,Baseline,6278
2024-11-19,09:33:22,Tuesday,1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.1,6278
2024-11-19,09:33:22,Tuesday,1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.2,6278
2024-11-19,09:33:22,Tuesday,1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.3,6278
2024-11-19,09:33:22,Tuesday,1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,Baseline,6230
2024-11-19,09:33:22,Tuesday,1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.1,6230
2024-11-19,09:33:22,Tuesday,1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.2,6230
2024-11-19,09:33:22,Tuesday,1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.3,6230
2024-11-19,09:33:22,Tuesday,1,34,James Cook,BUF,RB,25.2,8,0,6220,Baseline,6220
2024-11-19,09:33:22,Tuesday,1,34,James Cook,BUF,RB,25.2,8,0,6220,1.1,6220
2024-11-19,09:33:22,Tuesday,1,34,James Cook,BUF,RB,25.2,8,0,6220,1.2,6220
2024-11-19,09:33:22,Tuesday,1,34,James Cook,BUF,RB,25.2,8,0,6220,1.3,6220
2024-11-19,09:33:22,Tuesday,1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,Baseline,6186
2024-11-19,09:33:22,Tuesday,1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.1,6186
2024-11-19,09:33:22,Tuesday,1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.2,6186
2024-11-19,09:33:22,Tuesday,1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.3,6186
2024-11-19,09:33:22,Tuesday,1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,Baseline,6167
2024-11-19,09:33:22,Tuesday,1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.1,6167
2024-11-19,09:33:22,Tuesday,1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.2,6167
2024-11-19,09:33:22,Tuesday,1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.3,6167
2024-11-19,09:33:22,Tuesday,1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,Baseline,6149
2024-11-19,09:33:22,Tuesday,1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.1,6149
2024-11-19,09:33:22,Tuesday,1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.2,6149
2024-11-19,09:33:22,Tuesday,1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.3,6149
2024-11-19,09:33:22,Tuesday,1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,Baseline,6112
2024-11-19,09:33:22,Tuesday,1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.1,6112
2024-11-19,09:33:22,Tuesday,1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.2,6112
2024-11-19,09:33:22,Tuesday,1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.3,6112
2024-11-19,09:33:22,Tuesday,1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,Baseline,6109
2024-11-19,09:33:22,Tuesday,1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.1,6109
2024-11-19,09:33:22,Tuesday,1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.2,6109
2024-11-19,09:33:22,Tuesday,1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.3,6109
2024-11-19,09:33:22,Tuesday,1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,Baseline,6096
2024-11-19,09:33:22,Tuesday,1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.1,6096
2024-11-19,09:33:22,Tuesday,1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.2,6096
2024-11-19,09:33:22,Tuesday,1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.3,6096
2024-11-19,09:33:22,Tuesday,1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,Baseline,5994
2024-11-19,09:33:22,Tuesday,1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.1,5994
2024-11-19,09:33:22,Tuesday,1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.2,5994
2024-11-19,09:33:22,Tuesday,1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.3,5994
2024-11-19,09:33:22,Tuesday,1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,Baseline,5986
2024-11-19,09:33:22,Tuesday,1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.1,5986
2024-11-19,09:33:22,Tuesday,1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.2,5986
2024-11-19,09:33:22,Tuesday,1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.3,5986
2024-11-19,09:33:22,Tuesday,1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,Baseline,5983
2024-11-19,09:33:22,Tuesday,1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.1,6685
2024-11-19,09:33:22,Tuesday,1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.2,7325
2024-11-19,09:33:22,Tuesday,1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.3,7965
2024-11-19,09:33:22,Tuesday,1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,Baseline,5926
2024-11-19,09:33:22,Tuesday,1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.1,5926
2024-11-19,09:33:22,Tuesday,1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.2,5926
2024-11-19,09:33:22,Tuesday,1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.3,5926
2024-11-19,09:33:22,Tuesday,1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,Baseline,5828
2024-11-19,09:33:22,Tuesday,1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.1,5828
2024-11-19,09:33:22,Tuesday,1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.2,5828
2024-11-19,09:33:22,Tuesday,1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.3,5828
2024-11-19,09:33:22,Tuesday,1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,Baseline,5795
2024-11-19,09:33:22,Tuesday,1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.1,5795
2024-11-19,09:33:22,Tuesday,1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.2,5795
2024-11-19,09:33:22,Tuesday,1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.3,5795
2024-11-19,09:33:22,Tuesday,1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,Baseline,5739
2024-11-19,09:33:22,Tuesday,1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.1,5739
2024-11-19,09:33:22,Tuesday,1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.2,5739
2024-11-19,09:33:22,Tuesday,1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.3,5739
2024-11-19,09:33:22,Tuesday,1,48,Jordan Love,GBP,QB,26.0,10,2,5668,Baseline,5668
2024-11-19,09:33:22,Tuesday,1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.1,5668
2024-11-19,09:33:22,Tuesday,1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.2,5668
2024-11-19,09:33:22,Tuesday,1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.3,5668
2024-11-19,09:33:22,Tuesday,1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,Baseline,5659
2024-11-19,09:33:22,Tuesday,1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.1,5659
2024-11-19,09:33:22,Tuesday,1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.2,5659
2024-11-19,09:33:22,Tuesday,1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.3,5659
2024-11-19,09:33:22,Tuesday,1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,Baseline,5658
2024-11-19,09:33:22,Tuesday,1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.1,5658
2024-11-19,09:33:22,Tuesday,1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.2,5658
2024-11-19,09:33:22,Tuesday,1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.3,5658
2024-11-19,09:33:22,Tuesday,1,51,Patrick Mahomes,KCC,QB,29.2,10,-8,5643,Baseline,5643
2024-11-19,09:33:22,Tuesday,1,51,Patrick Mahomes,KCC,QB,29.2,10,-8,5643,1.1,5643
2024-11-19,09:33:22,Tuesday,1,51,Patrick Mahomes,KCC,QB,29.2,10,-8,5643,1.2,5643
2024-11-19,09:33:22,Tuesday,1,51,Patrick Mahomes,KCC,QB,29.2,10,-8,5643,1.3,5643
2024-11-19,09:33:22,Tuesday,1,52,David Montgomery,DET,RB,27.4,10,2,5625,Baseline,5625
2024-11-19,09:33:22,Tuesday,1,52,David Montgomery,DET,RB,27.4,10,2,5625,1.1,5625
2024-11-19,09:33:22,Tuesday,1,52,David Montgomery,DET,RB,27.4,10,2,5625,1.2,5625
2024-11-19,09:33:22,Tuesday,1,52,David Montgomery,DET,RB,27.4,10,2,5625,1.3,5625
2024-11-19,09:33:22,Tuesday,1,53,2025 Late 1st,FA,PICK,N/A,10,9,5594,Baseline,5594
2024-11-19,09:33:22,Tuesday,1,53,2025 Late 1st,FA,PICK,N/A,10,9,5594,1.1,5594
2024-11-19,09:33:22,Tuesday,1,53,2025 Late 1st,FA,PICK,N/A,10,9,5594,1.2,5594
2024-11-19,09:33:22,Tuesday,1,53,2025 Late 1st,FA,PICK,N/A,10,9,5594,1.3,5594
2024-11-19,09:33:22,Tuesday,1,54,2026 Mid 1st,FA,PICK,N/A,10,2,5563,Baseline,5563
2024-11-19,09:33:22,Tuesday,1,54,2026 Mid 1st,FA,PICK,N/A,10,2,5563,1.1,5563
2024-11-19,09:33:22,Tuesday,1,54,2026 Mid 1st,FA,PICK,N/A,10,2,5563,1.2,5563
2024-11-19,09:33:22,Tuesday,1,54,2026 Mid 1st,FA,PICK,N/A,10,2,5563,1.3,5563
2024-11-19,09:33:22,Tuesday,1,55,Chris Olave,NOS,WR,24.4,10,-17,5543,Baseline,5543
2024-11-19,09:33:22,Tuesday,1,55,Chris Olave,NOS,WR,24.4,10,-17,5543,1.1,5543
2024-11-19,09:33:22,Tuesday,1,55,Chris Olave,NOS,WR,24.4,10,-17,5543,1.2,5543
2024-11-19,09:33:22,Tuesday,1,55,Chris Olave,NOS,WR,24.4,10,-17,5543,1.3,5543
2024-11-19,09:33:22,Tuesday,1,56,Josh Jacobs,GBP,RB,26.8,10,11,5533,Baseline,5533
2024-11-19,09:33:22,Tuesday,1,56,Josh Jacobs,GBP,RB,26.8,10,11,5533,1.1,5533
2024-11-19,09:33:22,Tuesday,1,56,Josh Jacobs,GBP,RB,26.8,10,11,5533,1.2,5533
2024-11-19,09:33:22,Tuesday,1,56,Josh Jacobs,GBP,RB,26.8,10,11,5533,1.3,5533
2024-11-19,09:33:22,Tuesday,1,57,Chase Brown,CIN,RB,24.7,10,38,5515,Baseline,5515
2024-11-19,09:33:22,Tuesday,1,57,Chase Brown,CIN,RB,24.7,10,38,5515,1.1,5515
2024-11-19,09:33:22,Tuesday,1,57,Chase Brown,CIN,RB,24.7,10,38,5515,1.2,5515
2024-11-19,09:33:22,Tuesday,1,57,Chase Brown,CIN,RB,24.7,10,38,5515,1.3,5515
2024-11-19,09:33:22,Tuesday,1,58,Jaylen Waddle,MIA,WR,26.0,10,-7,5510,Baseline,5510
2024-11-19,09:33:22,Tuesday,1,58,Jaylen Waddle,MIA,WR,26.0,10,-7,5510,1.1,5510
2024-11-19,09:33:22,Tuesday,1,58,Jaylen Waddle,MIA,WR,26.0,10,-7,5510,1.2,5510
2024-11-19,09:33:22,Tuesday,1,58,Jaylen Waddle,MIA,WR,26.0,10,-7,5510,1.3,5510
2024-11-19,09:33:22,Tuesday,1,59,Terry McLaurin,WAS,WR,29.2,10,11,5474,Baseline,5474
2024-11-19,09:33:22,Tuesday,1,59,Terry McLaurin,WAS,WR,29.2,10,11,5474,1.1,5474
2024-11-19,09:33:22,Tuesday,1,59,Terry McLaurin,WAS,WR,29.2,10,11,5474,1.2,5474
2024-11-19,09:33:22,Tuesday,1,59,Terry McLaurin,WAS,WR,29.2,10,11,5474,1.3,5474
2024-11-19,09:33:22,Tuesday,1,60,Jonathon Brooks,CAR,RB,21.3,10,-7,5411,Baseline,5411
2024-11-19,09:33:22,Tuesday,1,60,Jonathon Brooks,CAR,RB,21.3,10,-7,5411,1.1,5411
2024-11-19,09:33:22,Tuesday,1,60,Jonathon Brooks,CAR,RB,21.3,10,-7,5411,1.2,5411
2024-11-19,09:33:22,Tuesday,1,60,Jonathon Brooks,CAR,RB,21.3,10,-7,5411,1.3,5411
2024-11-19,09:33:22,Tuesday,1,61,Alvin Kamara,NOS,RB,29.3,10,8,5343,Baseline,5343
